,business_id,full_address,hours,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,attributes,type
978,rlApP8IHKEW8eERHhZpdOg,"3119 E Thomas Rd
Phoenix, AZ 85016","{'Monday': {'close': '18:00', 'open': '09:30'}, 'Tuesday': {'close': '18:00', 'open': '09:30'}, 'Friday': {'close': '18:00', 'open': '09:30'}, 'Wednesday': {'close': '18:00', 'open': '09:30'}, 'Thursday': {'close': '18:00', 'open': '09:30'}, 'Saturday': {'close': '16:00', 'open': '12:00'}}",True,"['Arts & Entertainment', 'Shopping', 'Arts & Crafts', 'Art Galleries', 'Home & Garden', 'Framing']",Phoenix,15,Framin' Works,[],-112.0142357,AZ,5.0,33.4802786,"{'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'By Appointment Only': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Wheelchair Accessible': True}",business
979,OreGIQraIaINz_43wuoYew,"3119 E Thomas Rd
Phoenix, AZ 85016",{},True,"['Local Services', 'Sewing & Alterations']",Phoenix,11,Phoenix Custom Tailors,[],-112.014283,AZ,3.5,33.480116,{'Accepts Credit Cards': False},business
1042,edjCywtqffQ8__vM7POZbw,"4340 East Indian School Rd
Phoenix, AZ 85018","{'Monday': {'close': '21:30', 'open': '10:00'}, 'Tuesday': {'close': '21:30', 'open': '10:00'}, 'Friday': {'close': '22:00', 'open': '10:00'}, 'Wednesday': {'close': '21:30', 'open': '10:00'}, 'Thursday': {'close': '21:30', 'open': '10:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '10:00'}}",True,"['Mexican', 'Restaurants']",Phoenix,42,Rubio's Fresh Mexican Grill,[],-111.988131,AZ,4.0,33.495496,"{'Alcohol': 'none', 'Noise Level': 'average', 'Has TV': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Caters': True, 'Delivery': False, 'Corkage': False, 'Accepts Credit Cards': True, 'BYOB/Corkage': 'yes_free', 'Take-out': True, 'Price Range': 1, 'Outdoor Seating': True, 'Takes Reservations': False, 'Waiter Service': False, 'Wi-Fi': 'no', 'Order at Counter': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Good For Kids': True, 'Good For Groups': True}",business
1097,JksZiHb_Vj1tYRTpuTg-uQ,"4519 E Thomas Rd
Phoenix, AZ 85018","{'Monday': {'close': '21:00', 'open': '08:00'}, 'Tuesday': {'close': '21:00', 'open': '08:00'}, 'Friday': {'close': '21:00', 'open': '08:00'}, 'Wednesday': {'close': '21:00', 'open': '08:00'}, 'Thursday': {'close': '21:00', 'open': '08:00'}, 'Sunday': {'close': '18:00', 'open': '10:00'}, 'Saturday': {'close': '19:00', 'open': '09:00'}}",True,"['Shopping', 'Office Equipment']",Phoenix,7,Office Max,[],-111.9854985,AZ,4.0,33.4800765,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
1429,CI5ag8Z0H1WCg3Nii0iRpg,"10855 N Tatum Blvd
Phoenix, AZ 85028",{},True,"['Beauty & Spas', 'Nail Salons']",Phoenix,22,My Nail Salon,[],-111.977772,AZ,3.0,33.5833191,"{'By Appointment Only': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
1519,rlaY7svfLnNzgEYKEOhN-A,"3212 E Cactus Rd
Phoenix, AZ 85032",{},True,"['Department Stores', 'Fashion', 'Shopping']",Phoenix,10,Big Lots,[],-112.0121845,AZ,4.0,33.5978508,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 1}",business
1535,6xNssycLITJzyBWuuLHl-Q,"2708 E Bell Rd
Phoenix, AZ 85032",{},True,"['Active Life', 'Sporting Goods', 'Shopping', 'Paintball']",Phoenix,3,Arizona Paintball Depot,[],-112.024335,AZ,4.5,33.6406125,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Price Range': 2}",business
1549,aOoL97QDyIJRy9NVwcCUOg,"3131 E Thunderbird Road
Phoenix, AZ 85032",{},True,"['Local Services', 'Sewing & Alterations']",Phoenix,3,Alterations by K Family,[],-112.013801,AZ,2.5,33.609866,{},business
1552,7hmTTGJHKfAw82uT4kIxvQ,"12450 N 32nd St
Ste 1
Phoenix, AZ 85032","{'Monday': {'close': '18:30', 'open': '09:00'}, 'Tuesday': {'close': '18:30', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:30', 'open': '09:00'}, 'Thursday': {'close': '18:30', 'open': '09:00'}, 'Saturday': {'close': '16:00', 'open': '09:30'}}",True,"['Shopping', 'Optometrists', 'Health & Medical', 'Eyewear & Opticians']",Phoenix,13,Paradise Valley Eye Care,[],-112.013518,AZ,3.5,33.600392,"{'Price Range': 2, 'Dogs Allowed': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'By Appointment Only': True, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True}",business
1610,oqZPXoenkQvAKQJ2pDCo0A,"12631 N Tatum Blvd
Phoenix, AZ 85032",{},True,"['Mexican', 'Restaurants']",Phoenix,50,Julio G's Tatum,[],-111.978772,AZ,3.0,33.600769,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
1705,W_ZcIQiI6waQu1UZxXnKbg,"3128 E Cactus Rd
Phoenix, AZ 85032",{},True,"['Bars', 'Sports Bars', 'Nightlife']",Phoenix,3,RJ's Sports Grill,[],-112.013936,AZ,4.5,33.597332,"{'Coat Check': False, 'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Music': {'video': False, 'live': False, 'dj': False, 'jukebox': True}, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': True, 'Smoking': 'outdoor', 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Happy Hour': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}",business
1915,mMFW9cZU1gQYv1uWREzg_w,"4810 E Ray Rd
Phoenix, AZ 85044",{},True,"['Sandwiches', 'Restaurants']",Phoenix,3,Subway,[],-111.9792734,AZ,4.0,33.3211166,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Takes Reservations': False, 'Price Range': 1}",business
1984,bFm1ZmXPg0CVsc97sej_tQ,"4940 E Ray Rd
Phoenix, AZ 85044","{'Monday': {'close': '23:59', 'open': '06:00'}, 'Tuesday': {'close': '23:59', 'open': '06:00'}, 'Friday': {'close': '23:59', 'open': '06:00'}, 'Wednesday': {'close': '23:59', 'open': '06:00'}, 'Thursday': {'close': '23:59', 'open': '06:00'}, 'Sunday': {'close': '21:00', 'open': '09:00'}, 'Saturday': {'close': '21:00', 'open': '08:00'}}",True,"['Local Services', 'Shipping Centers', 'Printing Services']",Phoenix,10,FedEx Office Print & Ship Center,[],-111.9777098,AZ,3.0,33.3212765,{'Accepts Credit Cards': True},business
2056,dKezWbuwb6O2em-hYehrRg,"4206 E Chandler Blvd
Ste 20
Phoenix, AZ 85048","{'Monday': {'close': '19:00', 'open': '07:00'}, 'Tuesday': {'close': '19:00', 'open': '07:00'}, 'Friday': {'close': '12:00', 'open': '08:00'}, 'Wednesday': {'close': '17:00', 'open': '08:00'}, 'Thursday': {'close': '17:00', 'open': '08:00'}, 'Saturday': {'close': '16:30', 'open': '07:30'}}",True,"['Health & Medical', 'Dentists', 'General Dentistry']",Phoenix,11,Desert Dentistry,[],-111.9922542,AZ,4.5,33.3057974,{'By Appointment Only': True},business
2070,Er5cvsO0iZR_aPmoHElN7A,"16515 S 40th St
Ste 111
Phoenix, AZ 85048","{'Monday': {'close': '18:00', 'open': '10:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '19:00', 'open': '09:00'}, 'Saturday': {'close': '14:00', 'open': '09:00'}}",True,"['Shopping', 'Optometrists', 'Health & Medical', 'Eyewear & Opticians']",Phoenix,4,Primary Eye Care Center,[],-111.996062393848,AZ,3.0,33.2967352035417,"{'By Appointment Only': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 4}",business
2094,Fd0mINs0v_cma-ORPDBQSQ,"Desert Ridge Marketplace
21001 N Tatum Blvd, Bldg 34-1140
Pheonix, AZ 85050","{'Monday': {'close': '21:30', 'open': '10:30'}, 'Tuesday': {'close': '21:30', 'open': '10:30'}, 'Friday': {'close': '22:30', 'open': '10:30'}, 'Wednesday': {'close': '21:30', 'open': '10:30'}, 'Thursday': {'close': '21:30', 'open': '10:30'}, 'Sunday': {'close': '21:30', 'open': '10:30'}, 'Saturday': {'close': '22:30', 'open': '10:30'}}",False,"['Burgers', 'Fast Food', 'Restaurants']",Pheonix,12,Fatburger,[],-111.9746066,AZ,3.0,33.678615,"{'Take-out': True, 'Drive-Thru': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Open 24 Hours': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Caters': False, 'Price Range': 1}",business
2096,jz084uDhqyUK_jdbAqkYRg,"21001 N Tatum Blvd
Ste 1630
Phoenix, AZ 85050","{'Monday': {'close': '22:00', 'open': '08:00'}, 'Tuesday': {'close': '22:00', 'open': '08:00'}, 'Friday': {'close': '22:00', 'open': '08:00'}, 'Wednesday': {'close': '22:00', 'open': '08:00'}, 'Thursday': {'close': '22:00', 'open': '08:00'}, 'Sunday': {'close': '21:00', 'open': '08:00'}, 'Saturday': {'close': '22:00', 'open': '08:00'}}",True,"['Department Stores', 'Fashion', 'Shopping']",Phoenix,25,Target,[],-111.9719522,AZ,3.5,33.676089,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 1}",business
2098,UpYva_zhJ6pRGfdTruIYIg,"21001 N. Tatum Blvd
Ste 40-1370
Phoenix, AZ 85050",{},True,"['Pizza', 'American (New)', 'Restaurants']",Phoenix,56,California Pizza Kitchen,[],-111.974663605924,AZ,3.5,33.6766209803431,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Caters': True, 'Noise Level': 'loud', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
2099,AjE4uM-VaGP3QPCjSjIEaw,"21001 North Tatum Blvd.
Phoenix, AZ 85050","{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '22:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '20:00', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '10:00'}}",True,"['Mexican', 'Restaurants']",Phoenix,17,Rubio's Fresh Mexican Grill,[],-111.9746066,AZ,3.0,33.678615,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Caters': True, 'Noise Level': 'loud', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': False, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'beer_and_wine', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}",business
2104,AX56yxldIb7TPBHMaPqOmg,"21001 N Tatum Boulevard
Suite 1630
Phoenix, AZ 85050",{},True,['Restaurants'],Phoenix,7,Port of Subs and Smoothie King,[],-111.9746066,AZ,2.5,33.678615,"{'Take-out': True, 'Delivery': False, 'Has TV': False, 'Takes Reservations': False, 'Accepts Credit Cards': True, 'Good For Groups': True, 'Price Range': 2}",business
2211,n8xJD_wdpcCJo4H8nYoHQw,"1720 W Broadway Rd
Mesa, AZ 85202","{'Monday': {'close': '18:00', 'open': '08:00'}, 'Tuesday': {'close': '18:00', 'open': '08:00'}, 'Friday': {'close': '18:00', 'open': '08:00'}, 'Wednesday': {'close': '18:00', 'open': '08:00'}, 'Thursday': {'close': '18:00', 'open': '08:00'}, 'Sunday': {'close': '16:00', 'open': '10:00'}, 'Saturday': {'close': '18:00', 'open': '08:00'}}",True,"['Building Supplies', 'Thrift Stores', 'Shopping', 'Home Services']",Mesa,4,Stardust Building Supplies,[],-111.8683864,AZ,4.0,33.4075992,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 1}",business
2237,sLrdo14R2HdSp3PmnJ3oKA,"6301 S McClintock Dr Ste 101
Tempe, AZ 85283",{},True,"['Doctors', 'Health & Medical']",Tempe,6,Mesa Pediatrics Professional Association,[],-111.910749,AZ,3.0,33.3647449,{'By Appointment Only': True},business
2267,N-18zbUr2ueTVyxuEIb6uA,"1225 W Guadalupe Rd
Mesa, AZ 85202",{},True,"['Food', 'Grocery']",Mesa,8,Safeway Food & Drug,[],-111.859896,AZ,3.5,33.363317,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
2274,o2gquauQEE9L1sBbcdbxZg,"1350 S Longmore
Mesa, AZ 85202","{'Monday': {'close': '21:00', 'open': '06:00'}, 'Tuesday': {'close': '21:00', 'open': '06:00'}, 'Friday': {'close': '20:00', 'open': '06:00'}, 'Wednesday': {'close': '21:00', 'open': '06:00'}, 'Thursday': {'close': '21:00', 'open': '06:00'}, 'Sunday': {'close': '17:00', 'open': '08:00'}, 'Saturday': {'close': '17:00', 'open': '08:00'}}",False,"['Active Life', 'Gyms', 'Fitness & Instruction']",Mesa,3,Bally Total Fitness,[],-111.865083,AZ,1.5,33.389345,{'Good for Kids': False},business
2416,9Mg5BoR-u0zPfcInLUcpaA,"6339 E. Southern Ave.
Mesa, AZ 85206","{'Monday': {'close': '22:00', 'open': '09:00'}, 'Tuesday': {'close': '22:00', 'open': '09:00'}, 'Friday': {'close': '22:00', 'open': '09:00'}, 'Wednesday': {'close': '22:00', 'open': '09:00'}, 'Thursday': {'close': '22:00', 'open': '09:00'}, 'Sunday': {'close': '20:00', 'open': '10:00'}, 'Saturday': {'close': '22:00', 'open': '09:00'}}",True,"['Books, Mags, Music & Video', 'Shopping']",Mesa,28,Half Price Books,[],-111.6977232,AZ,3.5,33.3938242,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 1}",business
2537,Ph-luLM88Kj6Hb1PIh_StQ,"1120 S Country Club Dr
Ste 105
Mesa, AZ 85210",{},False,"['Hobby Shops', 'Comic Books', 'Books, Mags, Music & Video', 'Shopping', 'Toy Stores']",Mesa,6,Atomic Comics,[],-111.8417698,AZ,3.5,33.3949852,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
2546,O-usNZUjADajkeYXIDAJiQ,"108 W Broadway Rd
Mesa, AZ 85210","{'Monday': {'close': '23:00', 'open': '09:00'}, 'Tuesday': {'close': '23:00', 'open': '09:00'}, 'Friday': {'close': '01:00', 'open': '09:00'}, 'Wednesday': {'close': '23:00', 'open': '09:00'}, 'Thursday': {'close': '23:00', 'open': '09:00'}, 'Sunday': {'close': '01:00', 'open': '09:00'}, 'Saturday': {'close': '01:00', 'open': '09:00'}}",True,"['Hot Dogs', 'Mexican', 'Restaurants']",Mesa,53,Micky's Hot Dogs,[],-111.8346505,AZ,4.0,33.4078841,"{'Take-out': True, 'Wi-Fi': 'no', 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Has TV': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': False, 'Good for Kids': True, 'Good For Groups': False, 'Price Range': 1}",business
